,ffr_rate,ffr_1d_change,ffr_5d_change,ffr_20d_change,ffr_momentum,ffr_volatility,gdp_level,gdp_growth,gdp_momentum,gdp_ffr_ratio,macro_signal
2024-06-11,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-12,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-13,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-14,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-15,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-16,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-17,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-18,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-19,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-20,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-21,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-22,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-23,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-24,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-25,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-26,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-27,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-28,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-29,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-06-30,5.33,0.0,0.0,0.0,0.0,0.0,29016.714,0.0,0.0,5444.036397748593,0.0
2024-07-01,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-02,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-03,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-04,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-05,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-06,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-07,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-08,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-09,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-10,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-11,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-12,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-13,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-14,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-15,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-16,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-17,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-18,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-19,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-20,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-21,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-22,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-23,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-24,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-25,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-26,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-27,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-28,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-29,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-30,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-07-31,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-08-01,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-08-02,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
