,ffr_rate,ffr_1d_change,ffr_5d_change,ffr_20d_change,ma5,ma20,gdp_level,gdp_qoq_growth,rate_regime
2023-01-01,4.33,,,,,,27164.359,,Neutral
2023-01-02,4.33,0.0,,,,,27164.359,,Neutral
2023-01-03,4.33,0.0,,,,,27164.359,,Neutral
2023-01-04,4.33,0.0,,,,,27164.359,,Neutral
2023-01-05,4.33,0.0,,,4.33,,27164.359,,Neutral
2023-01-06,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-07,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-08,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-09,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-10,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-11,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-12,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-13,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-14,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-15,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-16,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-17,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-18,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-19,4.33,0.0,0.0,,4.33,,27164.359,,Neutral
2023-01-20,4.33,0.0,0.0,,4.33,4.33,27164.359,,Neutral
2023-01-21,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-22,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-23,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-24,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-25,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-26,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-27,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-28,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-29,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-30,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-01-31,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-02-01,4.33,0.0,0.0,0.0,4.33,4.33,27164.359,,Neutral
2023-02-02,4.58,0.25,0.25,0.25,4.38,4.342499999999999,27164.359,,Tightening
2023-02-03,4.58,0.0,0.25,0.25,4.430000000000001,4.3549999999999995,27164.359,,Tightening
2023-02-04,4.58,0.0,0.25,0.25,4.4799999999999995,4.3675,27164.359,,Tightening
2023-02-05,4.58,0.0,0.25,0.25,4.53,4.38,27164.359,,Tightening
2023-02-06,4.58,0.0,0.25,0.25,4.58,4.3925,27164.359,,Tightening
2023-02-07,4.58,0.0,0.0,0.25,4.58,4.405,27164.359,,Neutral
2023-02-08,4.58,0.0,0.0,0.25,4.58,4.4175,27164.359,,Neutral
